latitude,longitude,rock_group,rock_type,density_model,thermal_conductivity,heat_production,heat_production_mass
-85.8833333,174.7166667,igneous,volcanic,2889.734451,4.588064938,1.146114759,0.000396616
-85.8666667,174.25,igneous,volcanic,2883.149182,4.588043052,1.158754691,0.000401906
-85.8666667,174.25,igneous,volcanic,2884.169702,4.5880317,1.107639313,0.000384041
-85.8333333,174.3333333,igneous,volcanic,2881.588256,4.588028535,1.16896457,0.000405667
-85.8333333,174.3333333,igneous,volcanic,2884.28567,4.588038303,1.353108425,0.000469131
-85.65,174.2666667,igneous,volcanic,2882.083431,4.588040148,1.33950574,0.00046477
-85.65,174.2666667,igneous,volcanic,2885.654651,4.588029558,1.21560801,0.000421259
-85.65,174.2666667,igneous,volcanic,2886.705901,4.588048794,1.208702046,0.000418713
-84.7333333,168,igneous,plutonic,2858.787633,4.587781941,0.422848862,0.000147912
-84.7333333,168,igneous,plutonic,2902.217248,4.588967196,0.5506651,0.000189739
-84.7333333,168,igneous,plutonic,2905.06673,4.588898129,0.676058245,0.000232717
-84.7333333,168,igneous,plutonic,2906.555368,4.588971997,0.473412251,0.000162877
-84.7333333,168,igneous,plutonic,2906.716984,4.588899651,0.626277,0.000215459
-84.7333333,168,igneous,plutonic,2906.968724,4.588938769,0.539048633,0.000185433
-84.6333333,164.1333333,igneous,volcanic,2887.608787,4.588059089,1.174924476,0.000406885
-84.5833333,164,igneous,volcanic,2854.727555,4.587808242,1.347217814,0.000471925
-84.5833333,164,igneous,volcanic,2885.15966,4.588002197,1.160509446,0.000402234
-84.5833333,164,igneous,volcanic,2887.662451,4.588033971,1.159634263,0.000401582
-84.5833333,164,igneous,volcanic,2890.272689,4.588073515,1.110482546,0.000384214
-84.5833333,164,igneous,volcanic,2903.841745,4.588236449,1.0791304,0.000371622
-84.3666667,164.9166667,igneous,volcanic,2886.651097,4.588057428,1.169013449,0.000404972
-83.68333333,-87.66666667,igneous,plutonic,2626.661339,4.586961927,3.190798071,0.001214773
-83.68333333,-87.66666667,igneous,plutonic,2627.875186,4.586973048,4.940873093,0.001880178
-82.58333333,-105.9166667,igneous,plutonic,2610.014356,4.587052529,2.85524223,0.001093957
-82.58333333,-105.9166667,igneous,plutonic,2619.38832,4.586994896,2.880640514,0.001099738
-82.06666667,-88.01666667,igneous,plutonic,2611.915676,4.586898752,8.716884498,0.003337353
-81.88333333,-89.38333333,igneous,plutonic,2641.408558,4.587096139,6.565670807,0.00248567
-81.88333333,-89.38333333,igneous,plutonic,2641.583883,4.587088697,4.192007456,0.00158693
