X,Y,Name,Lo,La,Uncertaint,Type,Input,Measured,Predicted,Error,Mis_Shen,StdError,Stdd_Error,NormValue,Source_ID,Field15,Iso_35_1,Iso_25_1,Ocean_1
1174039.724,-969387.4772,,0,0,0,11,40.88199997,0,0,0,0,0,0,0,0,0,40.88199997,30.88199997,6.48789978
1375123.46,-1403305.012,,0,0,0,11,39.92499924,0,0,0,0,0,0,0,0,0,39.92499924,29.92499924,6.678999901
1703207.449,-165052.5352,,0,0,0,11,40.40100098,0,0,0,0,0,0,0,0,0,40.40100098,30.40099907,6.929599762
2137124.984,-133302.4717,,0,0,0,11,39.91699982,0,0,0,0,0,0,0,0,0,39.91699982,29.91699982,6.763999939
1851374.412,-598970.0697,,0,0,0,11,35.50600052,0,0,0,0,0,0,0,0,0,35.50600052,25.50600052,8.299699783
1597373.904,-1001137.541,,0,0,0,11,38.83599854,0,0,0,0,0,0,0,0,0,38.83599854,28.83600044,7.237299919
1893707.83,-1329221.53,,0,0,0,11,37.90599823,0,0,0,0,0,0,0,0,0,37.90599823,27.90600014,7.125500202
2359375.428,-440219.7522,,0,0,0,11,35.9129982,0,0,0,0,0,0,0,0,0,35.9129982,25.91300011,7.677599907
972955.9888,1718784.566,,0,0,0,11,36.74399948,0,0,0,0,0,0,0,0,0,36.74399948,26.74399948,7.258699894
856539.0892,1475367.412,,0,0,0,11,43.13399887,0,0,0,0,0,0,0,0,0,43.13399887,33.13399887,5.763800144
-148879.5883,1147283.423,,0,0,0,11,38.8219986,0,0,0,0,0,0,0,0,0,38.8219986,28.8220005,6.736800194
146925.17,367554.78,,0,0,0,11,38.04899979,0,0,0,0,0,0,0,0,0,38.04899979,28.04899979,7.346300125
117820.9451,1038274.871,,0,0,0,11,39.33100128,0,0,0,0,0,0,0,0,0,39.33100128,29.33099937,6.802499771
1326969.197,1152045.932,,0,0,0,11,40.6969986,0,0,0,0,0,0,0,0,0,40.6969986,30.6970005,6.668600082
1869366.115,1369004.7,,0,0,0,11,41.69400024,0,0,0,0,0,0,0,0,0,41.69400024,31.69400024,5.907100201
-2020016.664,256429.5578,,0,0,0,12,23.68099976,0,0,0,0,0,0,0,0,0,33.68099976,23.68099976,11.22399998
-2039654.545,1361523.83,,0,0,0,13,13.39599991,0,0,0,0,0,0,0,0,0,33.19800186,23.19799995,13.39599991
-2529076.015,568373.9316,,0,0,0,13,12.47399998,0,0,0,0,0,0,0,0,0,25.19099998,15.19099998,12.47399998
-2354450.666,179435.6538,,0,0,0,13,12.11999989,0,0,0,0,0,0,0,0,0,25.87800026,15.87800026,12.11999989
-2283013.023,-265065.2352,,0,0,0,13,13.22299957,0,0,0,0,0,0,0,0,0,23.39699936,13.39700031,13.22299957
-2044887.547,-749253.7036,,0,0,0,13,13.72299957,0,0,0,0,0,0,0,0,0,25.75200081,15.75199986,13.72299957
-1695636.848,-1082629.37,,0,0,0,13,11.66600037,0,0,0,0,0,0,0,0,0,26.98800087,16.98800087,11.66600037
-1298761.055,-1416005.037,,0,0,0,13,12.31999969,0,0,0,0,0,0,0,0,0,24.70299911,14.70300007,12.31999969
