X,Y,Name,Lo,La,Uncertaint,Type,Input,Measured,Predicted,Error,Mis_Shen,StdError,Stdd_Error,NormValue,Source_ID,Field15,Iso_35_1,Iso_25_1,Ocean_1
-2456.249713,-1407325.991,WRS 29,-179.9,-77.1,1,2,24,23,23.80400085,-0.987661788,0.195999146,1.960817619,-0.503698956,-0.568482485,0,0,33.25299835,23.25300026,8.204899788
-17193.329,-1407223.105,,-179.3,-77.1,0,6,24,23,24.33699989,-0.521437563,0.336999893,1.963694861,-0.265538997,-0.306746757,1,0,33.25299835,23.25300026,8.204899788
-34820.68289,-1404696.953,ERS3,-178.58,-77.12,1,2,24,23,24.13999939,-0.633394902,0.13999939,2.045002663,-0.309728155,-0.361496869,2,0,33.51499939,23.51499939,8.245800018
-63840.60946,-1405879.388,,-177.4,-77.1,0,6,23,23,25.72699928,0.011516311,2.726999283,1.930786458,0.00596457,0.030204931,3,0,33.55699921,23.55699921,9.304900169
-73078.29878,-1394417.008,,-177,-77.2,0,6,22,23,24.87299919,0.820384479,2.872999191,1.92475468,0.426228073,0.543306052,4,0,33.5340004,23.5340004,9.313899994
-73783.64595,-1403189.931,ERS5,-176.99,-77.12,1,2,24,22,25.47299957,-2.034010849,1.472999573,1.864255188,-1.091058167,-1.239538062,5,0,33.55699921,23.55699921,9.304900169
-112866.2026,-1402794.96,,-175.4,-77.1,0,6,18,21,26.91900063,2.588161597,8.919000626,1.983721415,1.304700134,1.110505135,6,0,33.66999817,23.67000008,12.66800022
-114413.2494,-1391635.311,,-175.3,-77.2,0,6,21,19,26.29400063,-1.672077335,5.294000626,1.958584147,-0.853717384,-0.889947674,7,0,33.66899872,23.66900063,12.66899967
-122888.7631,-1324700.643,begin,-174.7,-77.8,1,3,21,21,24.43000031,0.279192788,3.430000305,2.01198938,0.138764543,0.217417541,8,0,33.71699905,23.71699905,14.05700016
-135896.1046,-1398541.476,ERS11,-174.45,-77.12,1,2,18,19,27.56900024,1.074289452,9.569000244,1.91675594,0.560472739,0.656989595,9,0,33.75,23.75,13.75899982
